lambda,fidelity
0.0,0.9718055555555556
0.041666666666666664,0.9537499999999997
0.08333333333333333,0.9480555555555555
0.125,0.9170833333333334
0.16666666666666666,0.9174999999999999
0.20833333333333331,0.8980555555555554
0.25,0.862361111111111
0.29166666666666663,0.8665277777777778
0.3333333333333333,0.8215277777777779
0.375,0.8155555555555555
0.41666666666666663,0.7665277777777779
0.4583333333333333,0.7298591549295775
0.5,0.6985294117647058
0.5416666666666666,0.6804411764705882
0.5833333333333333,0.6311764705882353
0.625,0.5998529411764706
0.6666666666666666,0.5616176470588236
0.7083333333333333,0.5295588235294119
0.75,0.4936764705882353
0.7916666666666666,0.4529411764705882
0.8333333333333333,0.40441176470588236
0.875,0.37000000000000005
0.9166666666666666,0.3363235294117647
0.9583333333333333,0.2897777777777778
1.0,0.26073529411764707
